hydrex_epoch,aero_epoch,epoch_start,epoch_end,pair,pool_address,tvl_start_usd,tvl_end_usd,tvl_avg_usd,volume_usd,fees_usd,ohydx_distributed,hydx_price_at_report,incentives_usd,fees_tvl_pct,volume_tvl_pct,fees_volume_pct,tvl_per_incentive_usd,fees_per_incentive_usd
38,145,2026-06-04,2026-06-11,FUN/WETH,0xbcbc4c1428632a176d4cbe0b7b891bf4ee6b3e09,86.23,1621.5,853.87,9424.88,52.52,3819.9498,0.03374,90.22,6.1509,1103.7904,0.5572,9.46,0.5821
38,145,2026-06-04,2026-06-11,OVPP/USDC,0x8857358a26254f8a1100434225495e633d496950,96.7,1148.41,622.56,8101.72,40.71,3819.9498,0.03374,90.22,6.5392,1301.3661,0.5025,6.9,0.4512
38,145,2026-06-04,2026-06-11,UP/WETH,0x1110d6aa4fd324f2836d618609105bb8935bbf4a,92.35,1526.97,809.66,4329.49,47.64,3819.9498,0.03374,90.22,5.884,534.7294,1.1004,8.97,0.528
38,145,2026-06-04,2026-06-11,BASEAI/USDC,0xb38ebed77331641ffd84312f1f8bf0a4ae8bc2cc,93.1,328.53,210.815,701.24,26.59,3819.949786549856,0.03368,90.0591361676994,12.612954486160852,332.6328771671845,3.7918544292966745,2.340850789501697,0.295250444668786
38,145,2026-06-04,2026-06-11,VELVET/WETH,0x77d190b97b20161345ac718c93f530e8a7a4800b,167.7,154.08,160.89,265.23,2.56,0.0,0.03318,0.0,1.5911492323948042,164.85176207346638,0.9652000150812502,0,0
38,145,2026-06-04,2026-06-11,MOCA/WETH,0x3e172af5f0dca7b8d183d2ec7bc14d8cab2216a8,1079.62,96.43,588.025,5.1,0.01,0.0,0.03318,0.0,0.0017006079673483271,0.8673100633476467,0.19607843137254902,0,0
38,145,2026-06-04,2026-06-11,BIO/WETH,0x4bff50d91bc2fde06f31a91a781bd461f69e9bd8,1028.9,92.27,560.585,9.54,0.03,0.0,0.03318,0.0,0.005351552396157585,1.701793661978112,0.3144654088050315,0,0
39,146,2026-06-11,2026-06-18,USDC/VVV,0x02107bab40bba06ae979a15f67b5ad3853c5e116,19649.65,24787.51,22218.58,204401.03,740.01,42419.8211,0.03105,921.99,3.3306,919.9554,0.362,24.1,0.8026
39,146,2026-06-11,2026-06-18,USDC/ZEN,0x415233bf9b9156d4f777d580e67c0a4e398a84c3,1304.49,912.64,1108.57,462.61,1.37,1146.6727,0.03105,24.92,0.1236,41.7305,0.2961,44.48,0.055
39,146,2026-06-11,2026-06-18,WETH/CHECK,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,1053.28,1078.94,1066.11,2001.13,7.83,154.7214,0.03105,3.36,0.7344,187.7039,0.3913,317.02,2.3284
39,146,2026-06-11,2026-06-18,WETH/NOCK,0x467a8846e7b54eac5d4d1cb2fdc9b8752212ff0e,2450.68,2940.0,2695.34,80809.29,336.35,19768.0937,0.03105,429.66,12.4789,2998.1112,0.4162,6.27,0.7828
39,146,2026-06-11,2026-06-18,LFI/USDC,0x53ab4c60ff04b782f630a8685af95404f099aafd,4031.86,9350.06,6690.96,13408.33,152.55,16410.4554,0.03105,356.68,2.2799,200.3947,1.1377,18.76,0.4277
39,146,2026-06-11,2026-06-18,AORA/USDC,0x7b5b9ac36bef2e808a02568704f651c607634c4b,726.48,206.23,466.36,1348.54,14.96,5642.6664,0.03105,122.64,3.2079,289.166,1.1093,3.8,0.122
39,146,2026-06-11,2026-06-18,DRB/WETH,0xa9a12101beddf0950c65c32a915ae21db002623d,1062.18,724.14,893.16,1126.98,12.55,2488.2596,0.03105,54.08,1.4051,126.179,1.1136,16.51,0.2321
39,146,2026-06-11,2026-06-18,DIEM/USDC,0xe6D1dABdDDb884c20C0eFF3c50FBa364e6C14399,967.73,696.84,832.29,2368.88,8.58,2447.5056,0.03105,53.2,1.0309,284.6237,0.3622,15.65,0.1613
39,146,2026-06-11,2026-06-18,HOME/USDC,0x3343646E7d40099F1456405859F6c28A40423BbD,1370.02,1029.52,1199.77,8550.18,26.72,6183.039,0.03105,134.39,2.2271,712.6516,0.3125,8.93,0.1988
39,146,2026-06-11,2026-06-18,AUKI/USDC,0x3c709ea8105174964a45ca913dc948f2b7477b66,2588.9,2763.55,2676.23,12523.44,62.72,7538.5166,0.03105,163.85,2.3436,467.9517,0.5008,16.33,0.3828
39,146,2026-06-11,2026-06-18,FUN/WETH,0xbcbc4c1428632a176d4cbe0b7b891bf4ee6b3e09,1637.08,2074.09,1855.59,9181.27,49.81,7540.2287,0.03105,163.89,2.6843,494.7911,0.5425,11.32,0.3039
39,146,2026-06-11,2026-06-18,OVPP/USDC,0x8857358a26254f8a1100434225495e633d496950,1153.82,1710.13,1431.97,4050.75,19.94,7540.2287,0.03105,163.89,1.3925,282.8785,0.4923,8.74,0.1217
39,146,2026-06-11,2026-06-18,UP/WETH,0x1110d6aa4fd324f2836d618609105bb8935bbf4a,1526.97,1564.79,1545.88,3181.44,34.97,7543.1462,0.03105,163.95,2.2621,205.8012,1.0992,9.43,0.2133
39,146,2026-06-11,2026-06-18,BASEAI/USDC,0xB38ebed77331641FfD84312f1f8bF0A4ae8BC2cC,328.53,113.18,220.85,180.26,6.72,4370.1583,0.03105,94.99,3.0427,81.6192,3.7279,2.33,0.0707
39,146,2026-06-11,2026-06-18,VELVET/WETH,0x77D190B97B20161345AC718c93f530E8a7A4800b,154.08,655.26,404.67,15960.46,155.77,3708.9944,0.03105,80.61,38.4931,3944.068,0.976,5.02,1.9323
39,146,2026-06-11,2026-06-18,MOCA/WETH,0x3e172Af5f0dcA7b8D183D2Ec7Bc14D8Cab2216A8,96.43,636.1,366.26,2488.65,9.8,3708.9944,0.03105,80.61,2.6757,679.4671,0.3938,4.54,0.1216
39,146,2026-06-11,2026-06-18,BIO/WETH,0x4BFf50D91BC2fDE06f31A91a781bd461f69e9BD8,92.27,1877.61,984.94,6028.43,30.36,3708.9944,0.03105,80.61,3.0824,612.0606,0.5036,12.22,0.3766
39,146,2026-06-11,2026-06-18,VVV/cbBTC,0xB651439c9B086c7B4399C623e54dEeBCb3905f17,98.51,98.51,98.51,7.06,0.02,0.0,0.03105,0.0,0.0203,7.1668,0.2833,0,0
39,146,2026-06-11,2026-06-18,cbADA/cbBTC,0xe8C3C7f1f845bc17E6964D42D84B21F97b12FCC0,92.2,92.2,92.2,2.18,0.0,0.0,0.03105,0.0,0.0,2.3644,0.0,0,0
40,147,2026-06-18,2026-06-25,USDC/VVV,0x02107bab40bba06ae979a15f67b5ad3853c5e116,24797.98,29268.92,27033.45,102164.55,359.17,57480.3984,0.03027,1217.95,1.3286,377.919,0.3516,22.2,0.2949
40,147,2026-06-18,2026-06-25,USDC/ZEN,0x415233bf9b9156d4f777d580e67c0a4e398a84c3,913.07,2257.51,1585.29,2739.15,8.12,1719.9646,0.03027,36.44,0.5122,172.7854,0.2964,43.5,0.2228
40,147,2026-06-18,2026-06-25,WETH/CHECK,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,1005.49,44.04,524.76,490.46,2.72,312.2829,0.03027,6.62,0.5183,93.4628,0.5546,79.31,0.4111
40,147,2026-06-18,2026-06-25,WETH/NOCK,0x467a8846e7b54eac5d4d1cb2fdc9b8752212ff0e,2976.57,3859.5,3418.03,130794.79,538.27,22048.4525,0.03027,467.18,15.7479,3826.6077,0.4115,7.32,1.1522
40,147,2026-06-18,2026-06-25,LFI/USDC,0x53ab4c60ff04b782f630a8685af95404f099aafd,9350.06,10329.85,9839.95,23964.33,264.02,13855.243,0.03027,293.58,2.6831,243.5411,1.1017,33.52,0.8993
40,147,2026-06-18,2026-06-25,AORA/USDC,0x7b5b9ac36bef2e808a02568704f651c607634c4b,206.23,207.43,206.83,165.05,1.94,4484.4449,0.03027,95.02,0.938,79.7998,1.1754,2.18,0.0204
40,147,2026-06-18,2026-06-25,DRB/WETH,0xa9a12101beddf0950c65c32a915ae21db002623d,724.5,604.13,664.32,309.34,3.33,903.7325,0.03027,19.15,0.5013,46.5653,1.0765,34.69,0.1739
40,147,2026-06-18,2026-06-25,DIEM/USDC,0xe6D1dABdDDb884c20C0eFF3c50FBa364e6C14399,696.84,313.85,505.35,338.42,1.18,707.507,0.03027,14.99,0.2335,66.9681,0.3487,33.71,0.0787
40,147,2026-06-18,2026-06-25,HOME/USDC,0x3343646E7d40099F1456405859F6c28A40423BbD,1080.45,753.49,916.97,5485.7,36.4,3796.0985,0.03027,80.44,3.9696,598.242,0.6635,11.4,0.4525
40,147,2026-06-18,2026-06-25,AUKI/USDC,0x3c709ea8105174964a45ca913dc948f2b7477b66,2758.81,2360.71,2559.76,6973.71,34.8,5555.3319,0.03027,117.71,1.3595,272.4361,0.499,21.75,0.2956
40,147,2026-06-18,2026-06-25,FUN/WETH,0xbcbc4c1428632a176d4cbe0b7b891bf4ee6b3e09,2091.0,1403.03,1747.01,5005.99,28.92,5613.9093,0.03027,118.95,1.6554,286.5453,0.5777,14.69,0.2431
40,147,2026-06-18,2026-06-25,OVPP/USDC,0x8857358a26254f8a1100434225495e633d496950,1712.56,1206.25,1459.4,2076.61,10.38,5545.3842,0.03027,117.5,0.7112,142.2916,0.4999,12.42,0.0883
